bce,psr2,norm_ll
0.3982561528682709,0.425437867641449,0.6714900732040405
0.20853693783283234,0.6991447806358337,0.811771035194397
0.24324896931648254,0.6490659117698669,0.7840762734413147
0.32017019391059875,0.5380920171737671,0.7260254621505737
0.25507038831710815,0.6320112347602844,0.7748619318008423
0.33448371291160583,0.517441987991333,0.715707540512085
0.27180764079093933,0.607864499092102,0.7620008587837219
0.46362319588661194,0.33113324642181396,0.6290006041526794
0.3101281523704529,0.5525796413421631,0.7333530187606812
0.20177346467971802,0.7089023590087891,0.8172799944877625
0.3846700191497803,0.445038378238678,0.680675208568573
0.18545842170715332,0.7324399948120117,0.8307233452796936
0.2843433618545532,0.589779257774353,0.7525082230567932
0.3143712282180786,0.5464581847190857,0.7302478551864624
0.21306775510311127,0.6926082372665405,0.8081014156341553
0.25348588824272156,0.6342971324920654,0.776090681552887
0.2464582324028015,0.6444358825683594,0.7815639972686768
0.36042270064353943,0.4800199866294861,0.6973814964294434
0.4152836203575134,0.4008723497390747,0.6601530313491821
0.27110937237739563,0.6088718175888062,0.7625331282615662
0.2305285781621933,0.667417585849762,0.7941137552261353
0.33177992701530457,0.5213427543640137,0.7176452875137329
0.40166643261909485,0.42051780223846436,0.6692039370536804
0.2521473169326782,0.6362283229827881,0.7771303057670593
0.25204527378082275,0.6363755464553833,0.7772095799446106
0.29096072912216187,0.5802323818206787,0.747545063495636
0.5028290152549744,0.27457094192504883,0.6048171520233154
0.3767479658126831,0.4564674496650696,0.6860889196395874
0.41407644748687744,0.40261393785476685,0.6609504222869873
0.32293570041656494,0.5341022610664368,0.7240204215049744
0.34449318051338196,0.5030013918876648,0.7085793614387512
0.3739943504333496,0.46044015884399414,0.6879807710647583
0.292643278837204,0.5778050422668457,0.7462883591651917
0.5588794946670532,0.19370728731155396,0.5718494653701782
0.23940829932689667,0.654606819152832,0.787093460559845
0.30024808645248413,0.5668335556983948,0.7406344413757324
0.2366359680891037,0.6586064696311951,0.7892785668373108
0.2166353166103363,0.687461256980896,0.8052235841751099
0.22053511440753937,0.6818350553512573,0.802089512348175
0.34651148319244385,0.5000896453857422,0.7071507573127747
0.3313918113708496,0.5219026803970337,0.7179238796234131
0.38342031836509705,0.44684135913848877,0.6815263628959656
0.24391348659992218,0.6481071710586548,0.7835553884506226
0.2660163938999176,0.6162195205688477,0.7664265632629395
